s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
 3.9000479E+002, 1.5000407E+001, 0.0000000E+000,-9.1041162E+000,-9.5335244E-002,-9.4674201E+000,-2.0673136E-003,-7.0493669E-006, 0.0000000E+000,-3.8162095E+000,-3.6685385E+000, 2.8651731E-005, 3.2965731E-004, 3.0696761E-008,-7.1890735E-001,-7.5280187E-001,-9.2840650E-001,-7.0508036E-001,-6.4474867E-001,-7.7305042E-001,-7.9335818E-001,-7.9696834E-001,-6.7628817E-001,-6.4363299E-001,-6.8921004E-001,-6.4561266E-001,-6.5009436E-001,-7.1615397E-001,-6.4605333E-001,-6.5711250E-001,-7.2530592E-001,-6.4558820E-001,-6.5943885E-001,-7.1936165E-001
 4.0002042E+002, 1.4997126E+001, 0.0000000E+000,-9.0363582E+000,-7.2555333E-002,-9.3595545E+000,-2.0673229E-003, 6.9756449E-005, 0.0000000E+000,-3.6331261E+000,-3.4733395E+000,-4.4436356E-005, 3.2965731E-004,-4.3311776E-007,-7.1900139E-001,-7.5561578E-001,-9.3568708E-001,-7.0525673E-001,-6.4480233E-001,-7.6040432E-001,-7.8707400E-001,-8.0728053E-001,-6.7227539E-001,-6.4341809E-001,-6.8953415E-001,-6.4557365E-001,-6.5050031E-001,-7.1734101E-001,-6.4603836E-001,-6.5710197E-001,-7.2494688E-001,-6.4561695E-001,-6.5946063E-001,-7.1984744E-001
 4.1000720E+002, 1.4999708E+001, 0.0000000E+000,-8.9580486E+000,-1.4166439E-001,-9.2851071E+000,-2.0665173E-003,-3.1441388E-005, 0.0000000E+000,-3.5227469E+000,-3.3872104E+000, 1.4892506E-005, 3.2965731E-004, 3.0180957E-008,-7.1897476E-001,-7.5294083E-001,-9.3236473E-001,-7.0524218E-001,-6.4476541E-001,-7.6598214E-001,-7.8956807E-001,-8.1519132E-001,-6.7319623E-001,-6.4347721E-001,-6.8932027E-001,-6.4558892E-001,-6.5041345E-001,-7.1701769E-001,-6.4602974E-001,-6.5675751E-001,-7.2606172E-001,-6.4557526E-001,-6.5916651E-001,-7.1932842E-001
 4.2002283E+002, 1.4998226E+001, 0.0000000E+000,-8.8700578E+000,-5.4277880E-002,-9.1588066E+000,-2.0665297E-003,-1.7058541E-004, 0.0000000E+000,-3.2408371E+000,-3.0871537E+000,-6.6714739E-005, 3.2965731E-004,-1.1017856E-007,-7.2137329E-001,-7.5483899E-001,-9.3623400E-001,-7.0873474E-001,-6.4484512E-001,-7.6255874E-001,-7.9028602E-001,-8.3066317E-001,-6.7228264E-001,-6.4322386E-001,-6.8957579E-001,-6.4556148E-001,-6.5020630E-001,-7.1691204E-001,-6.4602053E-001,-6.5676150E-001,-7.2546022E-001,-6.4558807E-001,-6.5929472E-001,-7.1929035E-001
 4.3000961E+002, 1.4998842E+001, 0.0000000E+000,-8.8075500E+000,-1.9500693E-001,-9.0474140E+000,-2.0663330E-003, 5.8094658E-005, 0.0000000E+000,-3.1727183E+000,-3.0531370E+000,-8.4017324E-006, 3.2965731E-004, 5.2942592E-008,-7.2176685E-001,-7.5661299E-001,-9.3059165E-001,-7.0573350E-001,-6.4486513E-001,-7.6673031E-001,-7.8770319E-001,-8.3432255E-001,-6.7124351E-001,-6.4329295E-001,-6.8984296E-001,-6.4556662E-001,-6.4996981E-001,-7.1543114E-001,-6.4602083E-001,-6.5668058E-001,-7.2500118E-001,-6.4558744E-001,-6.5919539E-001,-7.1946869E-001
 4.4002524E+002, 1.4998047E+001, 0.0000000E+000,-8.7450113E+000,-1.2312783E-002,-8.9882384E+000,-2.0672584E-003, 1.6637312E-004, 0.0000000E+000,-2.9337705E+000,-2.7494167E+000,-2.5343093E-005, 3.2965731E-004,-1.6463345E-007,-7.1797814E-001,-7.5455885E-001,-9.2989797E-001,-7.0506236E-001,-6.4488583E-001,-7.6435949E-001,-7.8696669E-001,-8.3579570E-001,-6.7227229E-001,-6.4314692E-001,-6.8969950E-001,-6.4555483E-001,-6.5010610E-001,-7.1553565E-001,-6.4601362E-001,-6.5645303E-001,-7.2573951E-001,-6.4557781E-001,-6.5906678E-001,-7.1921831E-001
 4.5001199E+002, 1.4998492E+001, 0.0000000E+000,-8.6952515E+000,-9.2060043E-002,-8.9587212E+000,-2.0678236E-003, 3.4496147E-004, 0.0000000E+000,-2.9361809E+000,-2.7492639E+000, 1.6627665E-005, 3.2965731E-004,-2.0286752E-007,-7.1822828E-001,-7.4591340E-001,-9.2604012E-001,-7.0482353E-001,-6.4484247E-001,-7.5783283E-001,-7.8618234E-001,-8.2386975E-001,-6.6941280E-001,-6.4325559E-001,-6.8980306E-001,-6.4552368E-001,-6.4976655E-001,-7.1315041E-001,-6.4599863E-001,-6.5610057E-001,-7.2145451E-001,-6.4557533E-001,-6.5883821E-001,-7.1858805E-001
 4.6002765E+002, 1.4998896E+001, 0.0000000E+000,-8.6442519E+000, 6.5906417E-002,-8.8381650E+000,-2.0679875E-003, 2.4328631E-004, 0.0000000E+000,-2.7000533E+000,-2.4194391E+000, 4.2844424E-005, 3.2965731E-004, 5.8827116E-008,-7.1756546E-001,-7.5040078E-001,-9.1262886E-001,-7.0075569E-001,-6.4487722E-001,-7.6138536E-001,-7.8267142E-001,-8.0545363E-001,-6.7199591E-001,-6.4308684E-001,-6.8814236E-001,-6.4551524E-001,-6.4958959E-001,-7.0856221E-001,-6.4598095E-001,-6.5574516E-001,-7.1835242E-001,-6.4554178E-001,-6.5833609E-001,-7.1728539E-001
 4.7001440E+002, 1.4997881E+001, 0.0000000E+000,-8.5960837E+000,-8.7367829E-002,-8.7143231E+000,-2.0684047E-003, 2.9157419E-004, 0.0000000E+000,-2.5722144E+000,-2.4016700E+000,-2.4237646E-005, 3.2965731E-004,-3.1060930E-007,-7.1472499E-001,-7.4635349E-001,-9.1928531E-001,-7.0287954E-001,-6.4493251E-001,-7.5120617E-001,-7.7508606E-001,-7.9790971E-001,-6.6883950E-001,-6.4290562E-001,-6.8797965E-001,-6.4548835E-001,-6.4918506E-001,-7.0798284E-001,-6.4598784E-001,-6.5553740E-001,-7.1857796E-001,-6.4557086E-001,-6.5822903E-001,-7.1775214E-001
 4.8000119E+002, 1.4998830E+001, 0.0000000E+000,-8.5454124E+000,-9.5830165E-002,-8.7072699E+000,-2.0673820E-003,-2.5697310E-004, 0.0000000E+000,-2.5217574E+000,-2.3520071E+000,-1.1196609E-005, 3.2965731E-004, 2.2887701E-007,-7.1852627E-001,-7.4503646E-001,-9.0702290E-001,-7.0188799E-001,-6.4492814E-001,-7.6267260E-001,-7.8013798E-001,-7.8543570E-001,-6.7143148E-001,-6.4301955E-001,-6.8959059E-001,-6.4549868E-001,-6.4932465E-001,-7.0999048E-001,-6.4596226E-001,-6.5536707E-001,-7.1852479E-001,-6.4552591E-001,-6.5807268E-001,-7.1778230E-001
 4.9001682E+002, 1.4998809E+001, 0.0000000E+000,-8.4940764E+000,-3.2847566E-004,-8.6447584E+000,-2.0690336E-003, 1.3597817E-004, 0.0000000E+000,-2.3279930E+000,-2.1422874E+000, 8.0232226E-006, 3.2965731E-004,-2.6792089E-007,-7.1761434E-001,-7.4837336E-001,-9.0741219E-001,-7.0214337E-001,-6.4495427E-001,-7.4923954E-001,-7.7690481E-001,-7.8440859E-001,-6.6959792E-001,-6.4265118E-001,-6.9043828E-001,-6.4544730E-001,-6.4911927E-001,-7.0768537E-001,-6.4594925E-001,-6.5533068E-001,-7.1874124E-001,-6.4554883E-001,-6.5795014E-001,-7.1745983E-001
 5.0000357E+002, 1.4998805E+001, 0.0000000E+000,-8.4517891E+000,-1.9103953E-001,-8.5130830E+000,-2.0686621E-003, 2.7299979E-005, 0.0000000E+000,-2.2628695E+000,-2.1591479E+000,-4.3538847E-005, 3.2965731E-004,-2.0468754E-007,-7.1625626E-001,-7.4295817E-001,-9.1778121E-001,-7.0136457E-001,-6.4488263E-001,-7.6017075E-001,-7.7632159E-001,-7.9492033E-001,-6.6942771E-001,-6.4262181E-001,-6.8844384E-001,-6.4547440E-001,-6.4911534E-001,-7.0976417E-001,-6.4594208E-001,-6.5533926E-001,-7.1911371E-001,-6.4553457E-001,-6.5789243E-001,-7.1740313E-001
 5.1001923E+002, 1.4999452E+001, 0.0000000E+000,-8.4170811E+000,-7.0220247E-002,-8.4651258E+000,-2.0704930E-003, 7.2825418E-005, 0.0000000E+000,-2.1380563E+000,-1.9549730E+000,-4.8220764E-005, 3.2965731E-004,-2.2244136E-007,-7.1540817E-001,-7.4514512E-001,-9.1666382E-001,-7.0093659E-001,-6.4492798E-001,-7.5402954E-001,-7.7677694E-001,-8.0415574E-001,-6.6916785E-001,-6.4260471E-001,-6.8723094E-001,-6.4547079E-001,-6.4917448E-001,-7.1119500E-001,-6.4592446E-001,-6.5514642E-001,-7.1612048E-001,-6.4553720E-001,-6.5802475E-001,-7.1728628E-001
 5.2000598E+002, 1.4997287E+001, 0.0000000E+000,-8.3808589E+000,-1.6810602E-002,-8.4058480E+000,-2.0680865E-003, 3.3102828E-005, 0.0000000E+000,-2.0283869E+000,-1.8082650E+000, 2.8220685E-005, 3.2965731E-004, 1.2209250E-007,-7.1760235E-001,-7.4478828E-001,-8.8981578E-001,-7.0038095E-001,-6.4493093E-001,-7.4771607E-001,-7.7677804E-001,-8.0477140E-001,-6.6841995E-001,-6.4270210E-001,-6.8858014E-001,-6.4543504E-001,-6.4882634E-001,-7.0959500E-001,-6.4588187E-001,-6.5501843E-001,-7.1752666E-001,-6.4551616E-001,-6.5774843E-001,-7.1717627E-001
 5.3002161E+002, 1.4999872E+001, 0.0000000E+000,-8.3443059E+000,-1.8001968E-002,-8.3556632E+000,-2.0695547E-003,-8.9997279E-005, 0.0000000E+000,-1.9071277E+000,-1.7202586E+000,-1.7217472E-006, 3.2965731E-004,-1.1956461E-007,-7.1793955E-001,-7.4217936E-001,-8.8292415E-001,-7.0270074E-001,-6.4497379E-001,-7.5660031E-001,-7.7358427E-001,-8.0385082E-001,-6.6951938E-001,-6.4243259E-001,-6.8824694E-001,-6.4543501E-001,-6.4875445E-001,-7.1333745E-001,-6.4585284E-001,-6.5498398E-001,-7.1888585E-001,-6.4548348E-001,-6.5756962E-001,-7.1610036E-001
 5.4000836E+002, 1.4996754E+001, 0.0000000E+000,-8.3052831E+000,-7.4036309E-002,-8.2682453E+000,-2.0687788E-003, 1.4273645E-004, 0.0000000E+000,-1.8474179E+000,-1.6527370E+000,-1.1685764E-005, 3.2965731E-004,-1.7142413E-008,-7.1637074E-001,-7.4313447E-001,-8.9717739E-001,-7.0005924E-001,-6.4496956E-001,-7.4766227E-001,-7.7198284E-001,-8.0272445E-001,-6.6731779E-001,-6.4248356E-001,-6.8705744E-001,-6.4540325E-001,-6.4862828E-001,-7.1218554E-001,-6.4582674E-001,-6.5457009E-001,-7.2079950E-001,-6.4548420E-001,-6.5734218E-001,-7.1615061E-001
 5.5002405E+002, 1.4998311E+001, 0.0000000E+000,-8.2746609E+000,-7.2568298E-002,-8.2675715E+000,-2.0697632E-003, 9.8300559E-005, 0.0000000E+000,-1.8048855E+000,-1.6184607E+000,-1.7239522E-005, 3.2965731E-004,-3.0432241E-007,-7.1517117E-001,-7.3840747E-001,-9.1854450E-001,-6.9704738E-001,-6.4488773E-001,-7.5340224E-001,-7.7147965E-001,-8.0458013E-001,-6.6725914E-001,-6.4236312E-001,-6.8666406E-001,-6.4540841E-001,-6.4854129E-001,-7.1399077E-001,-6.4580008E-001,-6.5461514E-001,-7.1736981E-001,-6.4545910E-001,-6.5722523E-001,-7.1535546E-001
 5.6001080E+002, 1.4999299E+001, 0.0000000E+000,-8.2494663E+000, 1.3418367E-002,-8.2561648E+000,-2.0691155E-003, 2.5319962E-004, 0.0000000E+000,-1.7382513E+000,-1.4947299E+000, 1.7707775E-005, 3.2965731E-004, 2.3476171E-007,-7.1403685E-001,-7.3846344E-001,-9.0920772E-001,-6.9686239E-001,-6.4489964E-001,-7.4708501E-001,-7.6788660E-001,-8.0032881E-001,-6.6598778E-001,-6.4222835E-001,-6.8732304E-001,-6.4537216E-001,-6.4823132E-001,-7.0926034E-001,-6.4578175E-001,-6.5429222E-001,-7.1625845E-001,-6.4546596E-001,-6.5687536E-001,-7.1539997E-001
 5.7002643E+002, 1.4998542E+001, 0.0000000E+000,-8.2201314E+000,-1.9130470E-002,-8.1696685E+000,-2.0700058E-003, 1.1318680E-004, 0.0000000E+000,-1.6155030E+000,-1.4123452E+000,-7.2895785E-006, 3.2965731E-004,-2.4053474E-007,-7.1431389E-001,-7.3671187E-001,-8.7676804E-001,-6.9870844E-001,-6.4490679E-001,-7.4345316E-001,-7.6646060E-001,-7.9210207E-001,-6.6719388E-001,-6.4210076E-001,-6.8937050E-001,-6.4534684E-001,-6.4825866E-001,-7.0680502E-001,-6.4577109E-001,-6.5408749E-001,-7.1622374E-001,-6.4546818E-001,-6.5669279E-001,-7.1521170E-001
 5.8001318E+002, 1.4998823E+001, 0.0000000E+000,-8.1946674E+000,-3.5072869E-002,-8.1405359E+000,-2.0701916E-003, 2.3100063E-005, 0.0000000E+000,-1.5782940E+000,-1.3735008E+000,-2.6853230E-005, 3.2965731E-004,-3.4364475E-007,-7.1503185E-001,-7.3612770E-001,-8.7930317E-001,-6.9711014E-001,-6.4485906E-001,-7.5107415E-001,-7.6656153E-001,-7.9960255E-001,-6.6665083E-001,-6.4196682E-001,-6.8944527E-001,-6.4534829E-001,-6.4803370E-001,-7.0562420E-001,-6.4575510E-001,-6.5384440E-001,-7.1374410E-001,-6.4545044E-001,-6.5657703E-001,-7.1471391E-001
 5.9002881E+002, 1.4998985E+001, 0.0000000E+000,-8.1695155E+000,-1.0216833E-001,-8.0695038E+000,-2.0696646E-003,-8.8626493E-006, 0.0000000E+000,-1.5030756E+000,-1.3442808E+000,-9.0906249E-006, 3.2965731E-004,-2.1306916E-008,-7.1606232E-001,-7.3986720E-001,-8.9229218E-001,-6.9588610E-001,-6.4483896E-001,-7.3911326E-001,-7.6432955E-001,-8.0491516E-001,-6.6571861E-001,-6.4205522E-001,-6.8927097E-001,-6.4533013E-001,-6.4799141E-001,-7.0416589E-001,-6.4575063E-001,-6.5398780E-001,-7.1372441E-001,-6.4547484E-001,-6.5655696E-001,-7.1450011E-001
 6.0001562E+002, 1.4998731E+001, 0.0000000E+000,-8.1473304E+000,-9.1664497E-002,-8.0758171E+000,-2.0696532E-003, 4.5092743E-005, 0.0000000E+000,-1.4815643E+000,-1.3181058E+000,-5.7319519E-005, 3.2965731E-004,-2.3898743E-007,-7.1594599E-001,-7.3363981E-001,-8.9776903E-001,-6.9677693E-001,-6.4480793E-001,-7.4671287E-001,-7.6627985E-001,-8.0513356E-001,-6.6459914E-001,-6.4198009E-001,-6.8750296E-001,-6.4533910E-001,-6.4829800E-001,-7.0596992E-001,-6.4574016E-001,-6.5402037E-001,-7.1271263E-001,-6.4546801E-001,-6.5643211E-001,-7.1444453E-001
 6.1000238E+002, 1.4999370E+001, 0.0000000E+000,-8.1181489E+000,-9.0499958E-002,-7.9997590E+000,-2.0696227E-003, 4.0264464E-005, 0.0000000E+000,-1.3624837E+000,-1.2110670E+000,-4.3688617E-005, 3.2965731E-004, 8.7780550E-008,-7.1503940E-001,-7.3574577E-001,-8.9017419E-001,-6.9751215E-001,-6.4474244E-001,-7.4422827E-001,-7.6568849E-001,-8.0368906E-001,-6.6609597E-001,-6.4188552E-001,-6.8791327E-001,-6.4532985E-001,-6.4781347E-001,-7.0326277E-001,-6.4572264E-001,-6.5385774E-001,-7.1258221E-001,-6.4548011E-001,-6.5669692E-001,-7.1507794E-001
 6.2001801E+002, 1.4999235E+001, 0.0000000E+000,-8.0999707E+000,-3.1626155E-002,-7.9942293E+000,-2.0699247E-003, 7.8246326E-005, 0.0000000E+000,-1.3334083E+000,-1.1285832E+000,-2.7430025E-005, 3.2965731E-004,-1.3945203E-007,-7.1296033E-001,-7.3929502E-001,-8.7104444E-001,-6.9534207E-001,-6.4470365E-001,-7.4532672E-001,-7.6617829E-001,-7.9378607E-001,-6.6612021E-001,-6.4167060E-001,-6.8671989E-001,-6.4532842E-001,-6.4788325E-001,-7.0724181E-001,-6.4568915E-001,-6.5402676E-001,-7.1358933E-001,-6.4546018E-001,-6.5657218E-001,-7.1550454E-001
 6.3000476E+002, 1.4998492E+001, 0.0000000E+000,-8.0781525E+000,-6.3337641E-002,-7.9523207E+000,-2.0701738E-003,-8.6944128E-005, 0.0000000E+000,-1.3095148E+000,-1.0974760E+000, 8.8999962E-006, 3.2965731E-004,-1.9495067E-007,-7.1792959E-001,-7.3443728E-001,-8.7399501E-001,-6.9632939E-001,-6.4466667E-001,-7.4569623E-001,-7.6621478E-001,-7.8460667E-001,-6.6631964E-001,-6.4177800E-001,-6.8660672E-001,-6.4533338E-001,-6.4810007E-001,-7.0619686E-001,-6.4564994E-001,-6.5374085E-001,-7.1221055E-001,-6.4543328E-001,-6.5625063E-001,-7.1403255E-001
 6.4002039E+002, 1.4997911E+001, 0.0000000E+000,-8.0585735E+000,-4.5669255E-003,-7.8838185E+000,-2.0702275E-003,-1.2125191E-004, 0.0000000E+000,-1.1718441E+000,-9.5123937E-001,-2.4089386E-005, 3.2965731E-004, 4.4778220E-008,-7.1950740E-001,-7.3449006E-001,-8.8510676E-001,-6.9854987E-001,-6.4464797E-001,-7.3619769E-001,-7.6153926E-001,-7.7927720E-001,-6.6442042E-001,-6.4164862E-001,-6.8695200E-001,-6.4528959E-001,-6.4781112E-001,-7.0963021E-001,-6.4560736E-001,-6.5335055E-001,-7.1644396E-001,-6.4542485E-001,-6.5621310E-001,-7.1319496E-001
 6.5000720E+002, 1.4999224E+001, 0.0000000E+000,-8.0297420E+000,-1.6857053E-002,-7.8498190E+000,-2.0690146E-003, 9.6654991E-006, 0.0000000E+000,-1.1255333E+000,-8.9925371E-001,-2.8153173E-005, 3.2965731E-004,-1.8575821E-007,-7.1852092E-001,-7.3458696E-001,-8.7845022E-001,-6.9580007E-001,-6.4461164E-001,-7.4730309E-001,-7.6177787E-001,-7.7639389E-001,-6.6592081E-001,-6.4167812E-001,-6.8693108E-001,-6.4529832E-001,-6.4755851E-001,-7.1048293E-001,-6.4557847E-001,-6.5368913E-001,-7.1579791E-001,-6.4537952E-001,-6.5592936E-001,-7.1352153E-001
 6.6002283E+002, 1.4999410E+001, 0.0000000E+000,-8.0149472E+000,-3.7160717E-002,-7.8161586E+000,-2.0688670E-003, 2.4829476E-004, 0.0000000E+000,-1.0409060E+000,-8.7067702E-001,-2.9445705E-005, 3.2965731E-004, 5.8583538E-008,-7.1502733E-001,-7.3361788E-001,-8.7340305E-001,-6.9309249E-001,-6.4453870E-001,-7.3891984E-001,-7.6041731E-001,-7.7988456E-001,-6.6433611E-001,-6.4152512E-001,-6.8698494E-001,-6.4527981E-001,-6.4762259E-001,-7.0880838E-001,-6.4556403E-001,-6.5338382E-001,-7.1773515E-001,-6.4539165E-001,-6.5597090E-001,-7.1435249E-001
 6.7000958E+002, 1.4998405E+001, 0.0000000E+000,-7.9942861E+000,-5.3165693E-002,-7.8169344E+000,-2.0681203E-003,-2.3452278E-004, 0.0000000E+000,-1.0659818E+000,-8.6828420E-001,-3.1661423E-005, 3.2965731E-004,-3.7609092E-008,-7.1861476E-001,-7.3309116E-001,-8.7000852E-001,-6.9463765E-001,-6.4451900E-001,-7.4458813E-001,-7.6455102E-001,-7.8296984E-001,-6.6528298E-001,-6.4148683E-001,-6.8645859E-001,-6.4529199E-001,-6.4773005E-001,-7.0974516E-001,-6.4555881E-001,-6.5338188E-001,-7.1758675E-001,-6.4537443E-001,-6.5584206E-001,-7.1484024E-001
 6.8002521E+002, 1.4998944E+001, 0.0000000E+000,-7.9796684E+000,-8.8098771E-002,-7.7843127E+000,-2.0680889E-003, 3.4777742E-004, 0.0000000E+000,-1.0524451E+000,-8.5485609E-001,-1.5087126E-005, 3.2965731E-004,-3.7277028E-008,-7.1650954E-001,-7.2890429E-001,-8.7398227E-001,-6.9423833E-001,-6.4446640E-001,-7.3540116E-001,-7.5701447E-001,-7.8684517E-001,-6.6310960E-001,-6.4160261E-001,-6.8580291E-001,-6.4527802E-001,-6.4746041E-001,-7.0765821E-001,-6.4556169E-001,-6.5312842E-001,-7.1456474E-001,-6.4539664E-001,-6.5574680E-001,-7.1467414E-001
 6.9001196E+002, 1.4998724E+001, 0.0000000E+000,-7.9609072E+000, 9.2067473E-004,-7.7873506E+000,-2.0694478E-003, 1.9105888E-004, 0.0000000E+000,-9.6830962E-001,-7.5049165E-001,-5.3825056E-005, 3.2965731E-004,-5.0370163E-007,-7.1335531E-001,-7.3173507E-001,-8.7614923E-001,-6.9301981E-001,-6.4445889E-001,-7.4033109E-001,-7.5770758E-001,-7.9337659E-001,-6.6351523E-001,-6.4139024E-001,-6.8566396E-001,-6.4527826E-001,-6.4766157E-001,-7.0336482E-001,-6.4556843E-001,-6.5322553E-001,-7.1248853E-001,-6.4540070E-001,-6.5561606E-001,-7.1346597E-001
 7.0002765E+002, 1.4998983E+001, 0.0000000E+000,-7.9458707E+000,-7.3396632E-002,-7.7623200E+000,-2.0690198E-003, 7.4783215E-005, 0.0000000E+000,-9.3645325E-001,-7.8459859E-001,-3.5735477E-005, 3.2965731E-004, 1.2883969E-007,-7.1363109E-001,-7.3056560E-001,-8.6525955E-001,-6.9333435E-001,-6.4436729E-001,-7.3704579E-001,-7.6138397E-001,-7.9221750E-001,-6.6384525E-001,-6.4130392E-001,-6.8506321E-001,-6.4528892E-001,-6.4742532E-001,-7.0353448E-001,-6.4556567E-001,-6.5336814E-001,-7.1025415E-001,-6.4541374E-001,-6.5569752E-001,-7.1264462E-001
 7.1001440E+002, 1.5024397E+001, 0.0000000E+000,-7.9382474E+000,-7.8812961E-002,-7.7671832E+000,-2.0750023E-003, 7.9459663E-005, 0.0000000E+000,-9.3879165E-001,-7.6184214E-001,-3.7474697E-005, 3.3061334E-004,-6.3815853E-009,-7.1205551E-001,-7.3022593E-001,-8.6162328E-001,-6.9397320E-001,-6.4436598E-001,-7.3913983E-001,-7.6056898E-001,-7.8768667E-001,-6.6341116E-001,-6.4131922E-001,-6.8409555E-001,-6.4529073E-001,-6.4746284E-001,-7.0325687E-001,-6.4555871E-001,-6.5312774E-001,-7.1178877E-001,-6.4541507E-001,-6.5564807E-001,-7.1304953E-001
 7.2000116E+002, 4.5661156E+001, 0.0000000E+000,-1.4989099E+001, 3.6571459E-001,-7.6888908E+000,-6.3572642E-003,-1.5357482E-004, 0.0000000E+000, 2.3141862E+001, 2.3342369E+001,-5.3122640E-005, 1.0218414E-003, 5.2618730E-008,-7.1608609E-001,-7.2976524E-001,-8.7718621E-001,-6.9244560E-001,-6.4430402E-001,-7.3834018E-001,-7.5595001E-001,-7.8067161E-001,-6.6315499E-001,-6.4306212E-001,-6.8535605E-001,-6.4532847E-001,-6.4778067E-001,-7.0465157E-001,-6.4558277E-001,-6.5329520E-001,-7.0901018E-001,-6.4545458E-001,-6.5578120E-001,-7.1380121E-001
 7.3001678E+002, 1.0826782E+002, 0.0000000E+000,-2.9633778E+001, 1.7871342E+000,-9.3582267E+000,-1.4821515E-002,-2.0825978E-004, 0.0000000E+000, 7.0840224E+001, 7.1047924E+001,-9.7027097E-005, 2.4000665E-003,-5.3523955E-007,-7.1830282E-001,-7.2561650E-001,-8.6707037E-001,-6.9118331E-001,-6.4409196E-001,-7.2986321E-001,-7.5142927E-001,-7.6747229E-001,-6.6146322E-001,-6.4714313E-001,-6.9098101E-001,-6.4535777E-001,-6.4819484E-001,-7.1044386E-001,-6.4560666E-001,-6.5371989E-001,-7.1517674E-001,-6.4549122E-001,-6.5604151E-001,-7.1504758E-001
 7.4000482E+002, 1.7109100E+002, 0.0000000E+000,-4.4957094E+001, 3.3349702E+000,-1.2135256E+001,-2.3205651E-002, 2.2602572E-006, 0.0000000E+000, 1.1714393E+002, 1.1731042E+002,-1.1135648E-004, 3.7794836E-003,-3.6339280E-007,-7.1437752E-001,-7.2553514E-001,-8.8104078E-001,-6.8938137E-001,-6.4402503E-001,-7.3399295E-001,-7.5503132E-001,-7.8454089E-001,-6.6201787E-001,-6.5094922E-001,-6.9423179E-001,-6.4543772E-001,-6.4850157E-001,-7.0601530E-001,-6.4569096E-001,-6.5410219E-001,-7.1650126E-001,-6.4555442E-001,-6.5652357E-001,-7.1712687E-001
 7.5000891E+002, 2.3362292E+002, 0.0000000E+000,-6.1293896E+001, 4.8212470E+000,-1.5942323E+001,-3.1465221E-002,-1.0820960E-003, 0.0000000E+000, 1.6094819E+002, 1.6117540E+002,-1.3369152E-004, 5.1540344E-003,-3.3369502E-007,-7.2692544E-001,-7.3615774E-001,-8.7655076E-001,-6.9135355E-001,-6.4401824E-001,-7.4281760E-001,-7.5805700E-001,-7.8012269E-001,-6.6330354E-001,-6.5365726E-001,-6.8498333E-001,-6.4553317E-001,-6.4928248E-001,-7.2283094E-001,-6.4572910E-001,-6.5462209E-001,-7.2545467E-001,-6.4559498E-001,-6.5702826E-001,-7.2254192E-001
 7.6001715E+002, 2.9646388E+002, 0.0000000E+000,-7.9576960E+001, 5.8087698E+000,-2.3027397E+001,-3.9635188E-002,-1.1052214E-003, 0.0000000E+000, 1.9944550E+002, 1.9962755E+002,-1.7682971E-004, 6.5362149E-003,-5.6673210E-007,-7.3502029E-001,-7.3962503E-001,-8.8296289E-001,-6.9383377E-001,-6.4397355E-001,-7.3597785E-001,-7.5470452E-001,-7.7939321E-001,-6.6435151E-001,-6.5686494E-001,-7.0608414E-001,-6.4561774E-001,-6.5021750E-001,-7.2631578E-001,-6.4583646E-001,-6.5542289E-001,-7.3377422E-001,-6.4571976E-001,-6.5772469E-001,-7.3137310E-001
 7.7001184E+002, 3.5921734E+002, 0.0000000E+000,-1.0188512E+002, 6.4601562E+000,-3.2265149E+001,-4.7665842E-002,-2.5453856E-003, 0.0000000E+000, 2.3137376E+002, 2.3147701E+002,-2.9377812E-004, 7.9124520E-003,-6.6684633E-007,-7.6126081E-001,-7.4180831E-001,-9.0591862E-001,-7.0255858E-001,-6.4392727E-001,-7.4404445E-001,-7.6500266E-001,-7.8478641E-001,-6.6504039E-001,-6.6066833E-001,-7.2446873E-001,-6.4577856E-001,-6.5164400E-001,-7.4457955E-001,-6.4598784E-001,-6.5677059E-001,-7.4648159E-001,-6.4586698E-001,-6.5905313E-001,-7.4615887E-001
 7.8001825E+002, 4.2165843E+002, 0.0000000E+000,-1.3038516E+002, 7.2071093E+000,-4.3692172E+001,-5.5542832E-002,-1.9725055E-003, 0.0000000E+000, 2.5465776E+002, 2.5473069E+002,-3.6457594E-004, 9.2918230E-003,-1.2993287E-006,-7.5222423E-001,-7.5196426E-001,-9.3182714E-001,-6.9859846E-001,-6.4379972E-001,-7.6238250E-001,-7.7951166E-001,-7.8916706E-001,-6.6563062E-001,-6.6421012E-001,-7.7111260E-001,-6.4598587E-001,-6.5367862E-001,-7.7038175E-001,-6.4619497E-001,-6.5881899E-001,-7.7636465E-001,-6.4605781E-001,-6.6084823E-001,-7.6356387E-001
